Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
Ultima VIII: Pagan,PC,15/03/1994,NA,Origin Systems,Origin Systems,Ultima,Computer RPG,,,,,Ultima VIII: Pagan / Strike Commander / Syndicate Plus / Wing Commander II,,,,,,,,,,,
Geograph Seal,Sharp X68000,12/03/1994,JP,Exact,Exact,,First-Person Shooter,,,,,Geograph Seal,,,,,,,,,,,
Art of Fighting 2,Neo-Geo,11/03/1994,NA,SNK,SNK,Art of Fighting,Fighting,,,,,Art of Fighting 2,,,,,,,,,,,
Galaxy Robo,SNES,11/03/1994,JP,Imagineer,Copya Systems,,Strategy RPG,,,,,,,,,,,,,,,,
NebulasRay,Arcade,01/03/1994,JP,Namco,Namco,,Scrolling Shooter,,,,,NebulasRay,,,,,,,,,,,
Steam-Heart's,NEC PC-9801,01/03/1994,JP,Technical Group Laboratory,GIGA,,Scrolling Shooter,,,,,Steam-Heart's,,,,,,,,,,,
Zoda's Revenge: StarTropics II,NES,01/03/1994,NA,Nintendo,Nintendo R&D3,StarTropics,Action Adventure,,,,,,,,,,,,,,,,
X-COM: UFO Defense,PC,01/03/1994,NA,MicroProse,Mythos Games,XCOM,Strategy,,,,,X-COM: UFO Defense,,,,,,,,,,,
Equinox,SNES,01/03/1994,NA,Sony Imagesoft,Software Creations,,Action Adventure,,,,,Equinox,,,,,,,,,,,
Bubble and Squeak,Sega Genesis,01/03/1994,NA,SunSoft,Audiogenic,,Action Platformer,,,,,,,,,,,,,,,,
Burning Dragon Plus,NEC PC-9801,25/02/1994,JP,Wiz,Wiz,Burning Dragon,Scrolling Shooter,,,,,,,,,,,,,,,,
Dragon Knight 4,NEC PC-9801,25/02/1994,JP,ELF Corporation,ELF Corporation,Dragon Knight,Dungeon Crawler,,,,,Dragon Knight 4,,,,,,,,,,,
Cyborg 009,SNES,25/02/1994,JP,BEC,BEC,Cyborg 009,Action Platformer,,,,,Cyborg 009,,,,,,,,,,,
Super Street Fighter II Turbo,Arcade,23/02/1994,NA,Capcom,Capcom,Street Fighter,Fighting,,,,,Super Street Fighter II Turbo,,,,,,,,,,,
Sparkster: Rocket Knight Adventures 2,Sega Genesis,22/02/1994,NA,Konami,Konami,Rocket Knight Adventures,Action Platformer,,,,,,,,,,,,,,,,
Tetsuwan Atom,SNES,18/02/1994,JP,Zamuse,Minato Giken,Astro Boy,Action,,,,,,,,,,,,,,,,
Eco Fighters,Arcade,15/02/1994,NA,Capcom,Capcom,,Scrolling Shooter,,,,,Eco Fighters,,,,,,,,,,,
Hiōden: Mamono-tachi tono Chikai,SNES,11/02/1994,JP,Telenet Japan,Wolf Team,,Turn-Based RPG,,,,,,,,,,,,,,,,
Farland Story Denki: Arc Ō no Ensei,NEC PC-9801,10/02/1994,JP,Technical Group Laboratory,Technical Group Laboratory,Farland Story,Strategy RPG,,,,,Farland Story Denki: Arc Ō no Ensei,,,,,,,,,,,
Sonic the Hedgehog 3,Sega Genesis,02/02/1994,NA,Sega,Sonic Team,Sonic the Hedgehog,Side-Scrolling Platformer,,,,,Sonic the Hedgehog 3,,,,,,,,,,,
Twin Eagle II: The Rescue Mission,Arcade,01/02/1994,NA,Visco Corporation,SETA Corporation,Twin Eagle,Scrolling Shooter,,,,,Twin Eagle II: The Rescue Mission,,,,,,,,,Twin Eagle II - The Rescue Mission,,
Under Fire,Arcade,01/02/1994,NA,Taito,Taito,,Rail Shooter,,,,,Under Fire,,,,,,,,,,,
Ardy Lightfoot,SNES,01/02/1994,NA,Titus Software,ASCII Entertainment,,Side-Scrolling Platformer,,,,,,,,,,,,,,,,
Bugs Bunny Rabbit Rampage,SNES,01/02/1994,NA,Sunsoft,Viacom New Media,Bugs Bunny,Side-Scrolling Platformer,,,,,,,,,,,,,,,,
The Ninja Warriors,SNES,01/02/1994,NA,Taito,Natsume,The Ninja Warriors,Beat 'em Up,,,,,,,,,,,,,,,,
X-Kaliber 2097,SNES,01/02/1994,NA,Activision,Fupac,,Action Platformer,,,,,X-Kaliber 2097,,,,,,,,,,,
