Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
Kingdom of Paradise,PlayStation Portable,15/11/2005,NA,Sony Computer Entertainment,Climax Entertainment,Tenchi no Mon,Action RPG,,,,,Kingdom of Paradise,,,,,,Kingdom of Paradise,,,,,
The Legend of Heroes: A Tear of Vermillion,PlayStation Portable,15/11/2005,NA,Bandai,Nihon Falcom,The Legend of Heroes,Turn-Based RPG,,,,,The Legend of Heroes: A Tear of Vermillion,,,,,,,,,,,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Nintendo GameCube,14/11/2005,NA,Buena Vista Games,Traveller's Tales,The Chronicles of Narnia,Action Adventure,,,,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,,,,,,,,,
X3: Reunion,PC,10/11/2005,NA,Enlight,Egosoft,X,Simulation,,,,,,,,,,,,,,,,
Viewtiful Joe: Double Trouble,Nintendo DS,08/11/2005,NA,Capcom,Clover Studio,Viewtiful Joe,Beat 'em Up,,,,,Viewtiful Joe: Double Trouble!,,,,,,,,,,,
Gun,Nintendo GameCube,08/11/2005,NA,Activision,Neversoft,,Third-Person Shooter,,,,,Gun,,,,,,,,,,,
Harry Potter and the Goblet of Fire,Nintendo GameCube,08/11/2005,NA,Electronic Arts,Electronic Arts,Harry Potter,Action Adventure,,,,,Harry Potter and the Goblet of Fire,,,,,,,,,,,
Viewtiful Joe: Red Hot Rumble,Nintendo GameCube,08/11/2005,NA,Capcom,Clover Studio,Viewtiful Joe,Beat 'em Up,,,,,Viewtiful Joe: Red Hot Rumble,,,,,,,,,,,
Fatal Frame III: The Tormented,PlayStation 2,08/11/2005,NA,Tecmo,Tecmo,Fatal Frame,Survival Horror,,,,,Fatal Frame III: The Tormented,,,,,,,,,,,
Suikoden Tactics,PlayStation 2,08/11/2005,NA,Konami,Konami,Suikoden,Strategy RPG,,,,,Suikoden Tactics,,,,,,,,,,,
SOCOM U.S. Navy SEALs: Fireteam Bravo,PlayStation Portable,08/11/2005,NA,Sony Computer Entertainment,Zipper Interactive,SOCOM U.S. Navy SEALs,Tactical Shooter,,,,,,,,,,,,,,,,
The Lord of the Rings: Tactics,PlayStation Portable,08/11/2005,NA,Electronic Arts,Amaze Entertainment,The Lord of the Rings,Strategy RPG,,,,,The Lord of the Rings: Tactics,,,,,,,,,,,
The Matrix: Path of Neo,PlayStation 2,07/11/2005,NA,Atari,Shiny Entertainment,The Matrix,Action Adventure,,,,,The Matrix: Path of Neo,,,,,,,,,,,
Ratchet & Clank: Going Mobile,J2ME,02/11/2005,NA,Sony Pictures Mobile,Handheld Games,Ratchet & Clank,Action Platformer,,,,,Ratchet & Clank: Going Mobile!,,,,,,,,,,,
Cobra the Arcade,Arcade,01/11/2005,JP,Namco,Namco,Space Adventure Cobra,Rail Shooter,,,,,Cobra the Arcade,,,,,,,,,,,
Earth 2160,PC,01/11/2005,NA,Midway Games,Reality Pump,Earth,Real-Time Strategy,,,,,Earth 2160,,,,,,,,,,,
Star Wars: Battlefront II,PC,01/11/2005,NA,LucasArts,Pandemic Studios,Star Wars: Battlefront,Third-Person Shooter,,,,,Star Wars: Battlefront II,,,,,,,,,,,
Call of Duty 2: Big Red One,PlayStation 2,01/11/2005,NA,Activision,Treyarch,Call of Duty,First-Person Shooter,,,,,Call of Duty 2: Big Red One,,,,,,,,,,,
Castlevania: Curse of Darkness,PlayStation 2,01/11/2005,NA,Konami,Konami,Castlevania,Hack-and-Slash,,,,,Castlevania: Curse of Darkness,,,,,,,,,,,
Trapt,PlayStation 2,01/11/2005,NA,Tecmo,Tecmo,Deception,Strategy RPG,,,,,Trapt,,,,,,,,,,,
Without Warning,PlayStation 2,01/11/2005,NA,Capcom,Circle Studio,,Third-Person Shooter,,,,,Without Warning,,,,,,,,,,,
Anthelion 2: Celestial Vigilance,Windows Mobile,01/11/2005,NA,PDAmill Game Studios,PDAmill Game Studios,Anthelion,Flight Simulation,,,,,,,,,,,,,,,,
Shin Megami Tensei: Digital Devil Saga 2,PlayStation 2,30/10/2005,NA,Atlus,Atlus,Megami Tensei,Turn-Based RPG,,,,,Shin Megami Tensei: Digital Devil Saga 2,,,,,,,,,,,
High Seize,N-Gage,28/10/2005,NA,Nokia,RedLynx,,Strategy RPG,,,,,High Seize,,,,,,,,,,,
Half-Life 2: Lost Coast,PC,27/10/2005,NA,Valve Corporation,Valve Corporation,Half-Life,First-Person Shooter,,,,,Half-Life 2: Lost Coast,,,,,,,,,,,
Marie to Elie Atelier: Salsburg no Renkinjutsu 1+2,PlayStation 2,27/10/2005,JP,Gust Co. Ltd.,Gust Co. Ltd.,Atelier,Turn-Based RPG,,,,,,,,,,,,,,,,
Ghost in the Shell: Stand Alone Complex,PlayStation Portable,26/10/2005,NA,Bandai,G-Artists,Ghost in the Shell,Third-Person Shooter,,,,,Ghost in the Shell: Stand Alone Complex,,,,,,,,,,,
Sid Meier's Civilization IV,PC,25/10/2005,NA,2K Games,Firaxis Games,Civilization,4X,,,,,Sid Meier's Civilization IV,,,,,,,,,,,
Ratchet: Deadlocked,PlayStation 2,25/10/2005,NA,Sony,Insomniac Games,Ratchet & Clank,3D Platformer,,,,,Ratchet: Deadlocked,,,,,,,,Ratchet: Deadlocked,,,
Soulcalibur III,PlayStation 2,25/10/2005,NA,Namco,Project Soul,Soulcalibur,Fighting,,,,,SoulCalibur III,,,,,,,,,,,
Metroid Prime Pinball,Nintendo DS,24/10/2005,NA,Nintendo,Fuse Games,Metroid,Pinball,,,,,Metroid Prime Pinball,,,,,,,,,,,
Dance Dance Revolution: Mario Mix,Nintendo GameCube,24/10/2005,NA,Nintendo,Konami,Mario Sports,Rhythm,,,,,Dance Dance Revolution: Mario Mix,,,,,,,,,,,
Grand Theft Auto: Liberty City Stories,PlayStation Portable,24/10/2005,NA,Rockstar Games,Rockstar Leeds,Grand Theft Auto,Third-Person Shooter,,,,,Grand Theft Auto: Liberty City Stories,,,,,,,,,,,
Point of Destruction,Gizmondo,22/10/2005,NA,Gizmondo Studios,Gizmondo Studios,,Scrolling Shooter,,,,,,,,,,,,,,,,
SSX 3,Gizmondo,22/10/2005,NA,EA Sports Big,Exient Entertainment,SSX,Sports,,,,,,,,,,,,,,,,
Sticky Balls,Gizmondo,22/10/2005,NA,Gizmondo Studios,Gizmondo Studios,,Puzzle Action,,,,,Sticky Balls,,,,,,,,,,,
Toy Golf,Gizmondo,22/10/2005,NA,Fathammer,Ninai Games,,Sports,,,,,Toy Golf,,,,,,,,,,,
Trailblazer,Gizmondo,22/10/2005,NA,Gizmondo Studios,Gizmondo Studios,,Racing,,,,,Trailblazer,,,,,,,,,,,
Zombie Zone,PlayStation 2,21/10/2005,EU,505 Games,Tamsoft,Onechanbara,Hack-and-Slash,,,,,Zombie Zone,,,,,,,,,,,
Shining Force Neo,PlayStation 2,20/10/2005,NA,Sega,Neverland,Shining,Action RPG,,,,,,,,,,,,,,,,
Dig Dug: Digging Strike,Nintendo DS,19/10/2005,NA,Namco,Bullets,Dig Dug,Action,,,,,Dig Dug: Digging Strike,,,,,,,,,,,
Crash Tag Team Racing,PlayStation 2,19/10/2005,NA,Vivendi Universal Games,Radical Entertainment,Crash Bandicoot,Racing,,,,,Crash Tag Team Racing,,,,,,,,,,,
Spyro: Shadow Legacy,Nintendo DS,18/10/2005,NA,Vivendi Universal Games,Amaze Entertainment,Spyro,Action RPG,,,,,Spyro: Shadow Legacy,,,,,,,,,,,
Tony Hawk's American Wasteland,Nintendo GameCube,18/10/2005,NA,Activision,Neversoft Entertainment,Tony Hawk's Pro Skater,Sports,,,,,Tony Hawk's American Wasteland,,,,,,,,,,,
F.E.A.R.,PC,18/10/2005,NA,Vivendi Universal Games,Monolith Productions,F.E.A.R.,Survival Horror,,,,,F.E.A.R.: First Encounter Assault Recon,,,,,,,,,,,
Quake 4,PC,18/10/2005,NA,Activision,Raven Software,Quake,First-Person Shooter,,,,,Quake 4,,,,,,,,,,,
Sniper Elite,PC,18/10/2005,NA,Namco Hometek,Rebellion Developments,Sniper Elite,Stealth Action,,,,,Sniper Elite,,,,,,,,,,,
Jak X: Combat Racing,PlayStation 2,18/10/2005,NA,Sony Computer Entertainment,Naughty Dog,Jak and Daxter,Vehicular Combat,,,,,Jak X: Combat Racing,,,,,,,,,,,
Shadow of the Colossus,PlayStation 2,18/10/2005,NA,Sony,Team Ico,Shadow of the Colossus,Action Adventure,,,,,Shadow of the Colossus,,,,,,,,,,,
The Con,PlayStation Portable,18/10/2005,NA,Sony Computer Entertainment,Think & Feel,,Fighting,,,,,The Con,,,,,,,,,,,
Fire Emblem: Path of Radiance,Nintendo GameCube,17/10/2005,NA,Nintendo,Intelligent Systems,Fire Emblem,Strategy RPG,,,,,Fire Emblem: Path of Radiance,,,,,,,,,,,
The Warriors,PlayStation 2,17/10/2005,NA,Rockstar Games,Rockstar Toronto,The Warriors,Beat 'em Up,,,,,The Warriors,,,,,,,,,,,
One,N-Gage,13/10/2005,NA,Nokia,Digital Legends Entertainment,,Fighting,,,,,,,,,,,,,,,,
Code Age Commanders: Tsugu Mono Tsugareru Mono,PlayStation 2,13/10/2005,JP,Square Enix,Square Enix Product Development Division 2,,Action RPG,,,,,,,,,,,,,,,,
Phoenix Wright: Ace Attorney,Nintendo DS,12/10/2005,NA,Capcom,Capcom,Ace Attorney,Adventure,,,,,Phoenix Wright: Ace Attorney,,,,,,,,,,,Gyakuten Saiban
Devil Kings,PlayStation 2,12/10/2005,NA,Capcom,Capcom,Sengoku Basara,Hack-and-Slash,,,,,Devil Kings,,,,,,,,,,,
Teen Titans,Game Boy Advance,11/10/2005,NA,Majesco Entertainment,Artificial Mind and Movement,Teen Titans,Beat 'em Up,,,,,Teen Titans,,,,,,,,,,,
SSX on Tour,Nintendo GameCube,11/10/2005,NA,EA Sports BIG,EA Canada,SSX,Sports,,,,,SSX on Tour,,,,,,,,,,,
Ty the Tasmanian Tiger 3: Night of the Quinkan,Nintendo GameCube,11/10/2005,NA,Activision,Krome Studios,Ty the Tasmanian Tiger,3D Platformer,,,,,Ty the Tasmanian Tiger 3: Night of the Quinkan,,,,,,,,,,,
Serious Sam 2,PC,11/10/2005,NA,Devolver Digital,Croteam,Serious Sam,First-Person Shooter,,,,,,,,,,,,,Serious Sam 2,,,
Romancing SaGa,PlayStation 2,11/10/2005,NA,Square Enix,Square Enix,SaGa,Turn-Based RPG,,,,,Romancing SaGa,,,,,,,,,,,
SOCOM 3 U.S. Navy SEALs,PlayStation 2,11/10/2005,NA,Sony Computer Entertainment,Zipper Interactive,SOCOM U.S. Navy SEALs,Tactical Shooter,,,,,,,,,,,,,,,,
The Nightmare Before Christmas: The Pumpkin King,Game Boy Advance,10/10/2005,NA,Buena Vista Games,Tose,The Nightmare Before Christmas,Metroidvania,,,,,,,,,,,,,,,,
L.A. Rush,PlayStation 2,10/10/2005,NA,Midway,Midway Studios Newcastle,Rush,Racing,,,,,,,,,,,,,,,,
The Nightmare Before Christmas: Oogie's Revenge,PlayStation 2,10/10/2005,NA,Buena Vista Games,Capcom,The Nightmare Before Christmas,Hack-and-Slash,,,,,,,,,,,,,,,,
Brothers in Arms: Earned in Blood,PC,06/10/2005,NA,Ubisoft,Gearbox Software,Brothers in Arms,First-Person Shooter,,,,,Brothers in Arms: Earned in Blood,,,,,,,,Brothers in Arms: Earned in Blood,,,
10.000 Bullets,PlayStation 2,06/10/2005,EU,Taito Corporation,Blue Moon Studio,,Third-Person Shooter,,,,,10.000 Bullets,,,,,,,,,,,
Mega Man Zero 4,Game Boy Advance,04/10/2005,NA,Capcom,Inti Creates,Mega Man Zero,Action Platformer,,,,,Mega Man Zero 4,,,,,,,,,,,
Trauma Center: Under the Knife,Nintendo DS,04/10/2005,NA,Atlus,Atlus,Trauma Center,Simulation,,,,,Trauma Center: Under the Knife,,,,,,,,,,,
Pokémon XD: Gale of Darkness,Nintendo GameCube,03/10/2005,NA,Nintendo,Genius Sonority,Pokémon,Turn-Based RPG,,,,,Pokémon XD: Gale of Darkness,,,,,,,,,,,
Neverwinter Nights: Kingmaker,PC,02/10/2005,NA,Atari,BioWare,Neverwinter Nights,Computer RPG,,,,,Neverwinter Nights: Kingmaker,,,,,,,,,,,
The Battle for Wesnoth,PC,02/10/2005,NA,David White,David White,,Real-Time Strategy,,,,,The Battle for Wesnoth,,,,,,,,The Battle for Wesnoth,,,
Mario Kart Arcade GP,Arcade,01/10/2005,NA,Namco,Namco,Mario Kart,Racing,,,,,Mario Kart Arcade GP,,,,,,,,,,,
Interstellar Flames 2,Gizmondo,30/09/2005,EU,Gizmondo Studios,Xen Games,Interstellar Flames,Rail Shooter,,,,,,,,,,,,,,,,
Michigan: Report from Hell,PlayStation 2,29/09/2005,EU,505 Games,Grasshopper Manufacture,,Survival Horror,,,,,Michigan: Report from Hell,,,,,,,,,,,
Mystic Nights,PlayStation 2,29/09/2005,KO,N-Log Corporation,Sony Computer Entertainment Korea,,Survival Horror,,,,,Mystic Nights,,,,,,,,,,,
Lost in Blue,Nintendo DS,27/09/2005,NA,Konami,Konami,Lost in Blue,Simulation,,,,,Lost in Blue,,,,,,,,,,,
Lunar: Dragon Song,Nintendo DS,27/09/2005,NA,Ubisoft,Japan Art Media,Lunar,Turn-Based RPG,,,,,Lunar: Dragon Song,,,,,,,,,,,
Trace Memory,Nintendo DS,27/09/2005,NA,Nintendo,Cing,Another Code,Adventure,,,,,Trace Memory,,,,,,,,,,,
Total Overdose: A Gunslinger's Tale in Mexico,PlayStation 2,27/09/2005,NA,Eidos Interactive,Deadline Games,Total Overdose,Third-Person Shooter,,,,,Total Overdose: A Gunslinger's Tale in Mexico,,,,,,,,,,,
Far Cry Instincts,Xbox,27/09/2005,NA,Ubisoft,Ubisoft Montreal,Far Cry,First-Person Shooter,,,,,,,,,,,,,,,,
Sly 3: Honor Among Thieves,PlayStation 2,26/09/2005,NA,Sony,Sucker Punch,Sly Cooper,3D Platformer,,,,,Sly 3: Honor Among Thieves,,,,,,,,,,,
The Suffering: Ties That Bind,PlayStation 2,26/09/2005,NA,Midway Games,Surreal Software,The Suffering,Survival Horror,,,,,The Suffering: Ties That Bind,,,,,,,,,,,
Ultimate Spider-Man,Nintendo GameCube,22/09/2005,NA,Activision,Treyarch,Spider-Man,Action Adventure,,,,,Ultimate Spider-Man,,,,,,,,,,,
Dungeons & Dragons: Dragonshard,PC,21/09/2005,NA,Atari,Liquid Entertainment,Dungeons & Dragons,Real-Time Strategy,,,,,Dungeons & Dragons: Dragonshard,,,,,,,,,,,
S.L.A.I.: Steel Lancer Arena International,PlayStation 2,21/09/2005,NA,Konami,Genki,Phantom Crash,Vehicular Combat,,,,,S.L.A.I.: Steel Lancer Arena International,,,,,,,,,,,
Marvel Nemesis: Rise of the Imperfects,Nintendo GameCube,20/09/2005,NA,Electronic Arts,Nhilistic Software,Marvel,Fighting,,,,,Marvel Nemesis: Rise of the Imperfects,,,,,,,,,,,
X-Men Legends II: Rise of Apocalypse,Nintendo GameCube,20/09/2005,NA,Activision,Raven Software,X-Men Legends,Action RPG,,,,,,,,,,,,,,,,
Fable: The Lost Chapters,PC,20/09/2005,NA,Microsoft Game Studios,Lionhead Studios,Fable,Action RPG,,,,,Fable: The Lost Chapters,,,,,,,,,,,
Genji: Dawn of the Samurai,PlayStation 2,20/09/2005,NA,Sony Computer Entertainment,Game Republic,Genji,Hack-and-Slash,,,,,Genji: Dawn of the Samurai,,,,,,,,,,,
Ninja Gaiden Black,Xbox,20/09/2005,NA,Tecmo,Team Ninja,Ninja Gaiden,Hack-and-Slash,,,,,Ninja Gaiden Black,,,,,,Ninja Gaiden Black,,,,,
DK: King of Swing,Game Boy Advance,19/09/2005,NA,Nintendo,Paon,Donkey Kong,Puzzle,,,,,DK: King of Swing,,,,,,,,,,,
Battalion Wars,Nintendo GameCube,19/09/2005,NA,Nintendo,Kuju Entertainment,Advance Wars,Strategy RPG,,,,,Battalion Wars,,,,,,,,,,,
Tak: The Great Juju Challenge,Nintendo GameCube,19/09/2005,NA,THQ,Avalanche Software,Tak,3D Platformer,,,,,Tak: The Great Juju Challenge,,,,,,,,,,,
Myst V: End of Ages,PC,19/09/2005,NA,Ubisoft,Cyan Worlds,Myst,Adventure,,,,,Myst V: End of Ages,,,,,,,,,,,
Frantix,PlayStation Portable,19/09/2005,NA,Sony Online Entertainment,Killer Game,,Puzzle Action,,,,,,,,,,,,,,,,
Bionicle: Maze of Shadows,Game Boy Advance,18/09/2005,NA,THQ,Razorback Developments,Bionicle,Turn-Based RPG,,,,,Bionicle: Maze of Shadows,,,,,,,,,,,
Mortal Kombat: Shaolin Monks,PlayStation 2,16/09/2005,NA,Midway Games,Midway Games,Mortal Kombat,Action Adventure,,,,,Mortal Kombat: Shaolin Monks,,,,,,,,,,,
Super Robot Taisen J,Game Boy Advance,15/09/2005,JP,Banpresto,Banpresto,Super Robot Wars,Strategy RPG,,,,,,,,,,,,,,,,
Doom RPG,J2ME,13/09/2005,NA,JAMDAT Mobile,id Software,Doom,Turn-Based RPG,,,,,Doom RPG,,,,,,,,,,,
Armored Core: Nine Breaker,PlayStation 2,13/09/2005,NA,Agetec,FromSoftware,Armored Core,Third-Person Shooter,,,,,Armored Core: Nine Breaker,,,,,,,,,,,
Burnout Revenge,PlayStation 2,13/09/2005,NA,Electronic Arts,Criterion Games,Burnout,Racing,,,,,,,,,,,,,,,,
Evil Dead: Regeneration,PlayStation 2,13/09/2005,NA,THQ,Cranky Pants Games,Evil Dead,Hack-and-Slash,,,,,Evil Dead: Regeneration,,,,,,,,,,,
Urban Reign,PlayStation 2,13/09/2005,NA,Namco,Namco,,Beat 'em Up,,,,,Urban Reign,,,,,,,,,,,
Burnout Legends,PlayStation Portable,13/09/2005,NA,Electronic Arts,Criterion Games,Burnout,Racing,,,,,,,,,,,,,,,,
MediEvil: Resurrection,PlayStation Portable,13/09/2005,NA,Sony Computer Entertainment,SCE Cambridge Studio,MediEvil,Action Adventure,,,,,MediEvil: Resurrection,,,,,,,,,,,
Guardian of Paradise,PC,09/09/2005,NA,Buster,Buster,,Action RPG,,,,,,,,,,,,,,,,
Rebelstar: Tactical Command,Game Boy Advance,06/09/2005,NA,Nintendo,Code Technologies,Rebelstar,Strategy RPG,,,,,Rebelstar: Tactical Command,,,,,,,,,,,
Radiata Stories,PlayStation 2,06/09/2005,NA,Square Enix,tri-Ace,,Action RPG,,,,,Radiata Stories,,,,,,,,,,,
Tom Clancy's Rainbow Six: Lockdown,PlayStation 2,06/09/2005,NA,Ubisoft,Red Storm Entertainment,Rainbow Six,First-Person Shooter,,,,,Tom Clancy's Rainbow Six: Lockdown,,,,,,,,Tom Clancy's Rainbow Six: Lockdown,,,
Puzzle! Mushihimetama,Arcade,01/09/2005,JP,AMI,Cave,Mushihimesama,Puzzle,,,,,Puzzle! Mushihimetama,,,,,,,,,,,
Duke Nukem Mobile: Bikini Project,J2ME,01/09/2005,NA,3D Realms,MachineWorks Northwest,Duke Nukem,Scrolling Shooter,,,,,Duke Nukem Mobile: Bikini Project,,,,,,,,,,,
System Rush,N-Gage,01/09/2005,NA,Nokia,Ideaworks Game Studio,System Rush,Racing,,,,,System Rush,,,,,,,,,,,
Heavy Metal Thunder,PlayStation 2,01/09/2005,JP,Square Enix,Media.Vision,,Fighting,,,,,Heavy Metal Thunder,,,,,,,,,,,
Fired Up,PlayStation Portable,01/09/2005,EU,Sony Computer Entertainment,London Studio,,Vehicular Combat,,,,,Fired Up,,,,,,,,,,,
Yu-Gi-Oh! Nightmare Troubadour,Nintendo DS,30/08/2005,NA,Konami,Konami,Yu-Gi-Oh!,Card Game,,,,,,,,,,,,,,,,
Dynasty Warriors Advance,Game Boy Advance,29/08/2005,NA,Koei,Omega Force,Dynasty Warriors,Hack-and-Slash,,,,,Dynasty Warriors Advance,,,,,,,,,,,
Mario Superstar Baseball,Nintendo GameCube,29/08/2005,NA,Nintendo,Namco,Mario Baseball,Sports,,,,,Mario Superstar Baseball,,,,,,,,,,,
Cowboy Bebop: Tsuioku no Serenade,PlayStation 2,25/08/2005,NA,Bandai,Banpresto,Cowboy Bebop,Beat 'em Up,,,,,,,,,,,,,,,,
The Incredible Hulk: Ultimate Destruction,Nintendo GameCube,23/08/2005,NA,Sierra Entertainment,Radical Entertainment,Incredible Hulk,Action Adventure,,,,,The Incredible Hulk: Ultimate Destruction,,,,,,,,,,,
Beat Down: Fists of Vengeance,PlayStation 2,23/08/2005,NA,Capcom,Cavia,,Beat 'em Up,,,,,Beat Down: Fists of Vengeance,,,,,,,,,,,
Advance Wars: Dual Strike,Nintendo DS,22/08/2005,NA,Nintendo,Intelligent Systems,Advance Wars,Strategy RPG,,,,,Advance Wars: Dual Strike,,,,,,,,,,,
Kim Possible 3: Team Possible,Game Boy Advance,21/08/2005,NA,Buena Vista Interactive,Artificial Mind and Movement,Kim Possible,Action Platformer,,,,,,,,,,,,,,,,
Neuro Hunter,PC,19/08/2005,NA,Deep Silver,Media Art,,Action RPG,,,,,Neuro Hunter,,,,,,,,,,,
Sigma Star Saga,Game Boy Advance,16/08/2005,NA,Namco,WayForward Technologies,,Space Combat,,,,,Sigma Star Saga,,,,,,,,,,,
Pac 'n Roll,Nintendo DS,16/08/2005,NA,Namco,Namco,Pac-Man,Side-Scrolling Platformer,,,,,Pac 'n Roll,,,,,,,,,,,
Sonic Gems Collection,Nintendo GameCube,16/08/2005,NA,Sega,Sonic Team,Sonic the Hedgehog,Side-Scrolling Platformer,,,,,Sonic Gems Collection,,,,,,,,,,,
Dungeon Siege 2,PC,16/08/2005,NA,Microsoft Game Studios,Gas Powered Games,Dungeon Siege,Action RPG,,,,,,,,,,,,,,,,
Darkwatch,PlayStation 2,16/08/2005,NA,Capcom,High Moon Studios,,First-Person Shooter,,,,,Darkwatch,,,,,,,,Darkwatch,,,
Death Jr.,PlayStation Portable,16/08/2005,NA,Konami,Backbone Entertainment,Death Jr.,Hack-and-Slash,,,,,Death Jr.,,,,,,,,,,,
The Roots: Gates of Chaos,N-Gage,15/08/2005,NA,Nokia,Cenega Publishing,,Action RPG,,,,,The Roots: Gates of Chaos,,,,,,,,,,,
Xanadu Next,N-Gage,15/08/2005,NA,Nokia,Falcom,Xanadu,Action RPG,,,,,,,,,,,,,,,,
Geist,Nintendo GameCube,15/08/2005,NA,Nintendo,"n-Space, Inc.",,Stealth Action,,,,,Geist,,,,,,,,,,,
Dragon Ball GT: Transformation,Game Boy Advance,09/08/2005,NA,Atari,Webfoot Technologies,Dragon Ball,Beat 'em Up,,,,,Dragon Ball GT: Transformation,,,,,,,,,,,
Jump Super Stars,Nintendo DS,08/08/2005,JP,Nintendo,Ganbarion,Jump!,Fighting,,,,,,,,,,,,,,,,
Bomberman Land 3,PlayStation 2,04/08/2005,JP,Hudson Soft,Racjin,Bomberman,Puzzle Action,,,,,Bomberman Land 3,,,,,,,,,,,
Tom Clancy's Ghost Recon 2: Summit Strike,Xbox,03/08/2005,NA,Ubisoft,Red Storm Entertainment,Ghost Recon,Tactical Shooter,,,,,Tom Clancy's Ghost Recon 2: Summit Strike,,,,,,,,Tom Clancy's Ghost Recon 2: Summit Strike,,,
Shaman King: Master of Spirits 2,Game Boy Advance,02/08/2005,NA,Konami,Konami,Shaman King,Action RPG,,,,,Shaman King: Master of Spirits 2,,,,,,,,,,,
BloodRayne 2,PC,02/08/2005,NA,Majesco Entertainment,Terminal Reality,BloodRayne,Third-Person Shooter,,,,,BloodRayne 2,,,,,,,,,,,
Age of Empires II,J2ME,01/08/2005,NA,In-Fusio,In-Fusio,Age of Empires,Real-Time Strategy,,,,,,,,,,,,,,,,
Spyro the Dragon,J2ME,01/08/2005,NA,Vivendi Games,Vivendi Games,Spyro,Side-Scrolling Platformer,,,,,Spyro the Dragon,,,,,,,,,,,
Shin Bokura no Taiyō: Gyakushū no Sabata,Game Boy Advance,28/07/2005,JP,Konami,Kojima Productions,Boktai,Action Adventure,,,,,,,,,,,,,,,,
Osu! Tatakae! Ōendan,Nintendo DS,28/07/2005,JP,Nintendo,iNiS,Osu! Tatakae! Ōendan,Rhythm,,,,,,,,,,,,,,,,
Graffiti Kingdom,PlayStation 2,28/07/2005,NA,HOT・B,Taito Corporation,Magic Pengel,Action RPG,,,,,Graffiti Kingdom,,,,,,,,,,,
Twinkle Star Sprites: La Petite Princesse,PlayStation 2,28/07/2005,JP,SNK,Now Production,Twinkle Star Sprites,Scrolling Shooter,,,,,Twinkle Star Sprites: La Petite Princesse,,,,,,,,,,,
Harvest Moon: Another Wonderful Life,Nintendo GameCube,26/07/2005,NA,Natsume,TOSE,Harvest Moon,Simulation,,,,,Harvest Moon: Another Wonderful Life,,,,,,,,,,,
Makai Kingdom: Chronicles of the Sacred Tome,PlayStation 2,26/07/2005,NA,NIS America,Nippon Ichi Software,,Strategy RPG,,,,,Makai Kingdom: Chronicles of the Sacred Tome,,,,,,,,,,,
Star Soldier,PlayStation Portable,21/07/2005,JP,Hudson,Hudso,Star Soldier,Scrolling Shooter,,,,,Star Soldier,,,,,,,,,,,
Colosseum: Road to Freedom,PlayStation 2,20/07/2005,NA,Koei,Ertrain,Colosseum: Road to Freedom,Action RPG,,,,,Colosseum: Road to Freedom,,,,,,,,,,,
Nanostray,Nintendo DS,19/07/2005,NA,Majesco Entertainment,Shin'en Multimedia,Nanostray,Scrolling Shooter,,,,,Nanostray,,,,,,,,,,,
Realms of Illusion,PC,15/07/2005,NA,The Adventure Company,Detalion,,Adventure,,,,,,,,,,,,,,,,
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PlayStation 2,12/07/2005,NA,Square Enix,Racjin,Fullmetal Alchemist,Action RPG,,,,,Fullmetal Alchemist 2: Curse of the Crimson Elixir,,,,,,,,,,,
Killer7,Nintendo GameCube,07/07/2005,NA,Capcom,Grasshopper Manufacture,Killer7,Action Adventure,,,,,Killer7,,,,,,,,,,,
Musashi: Samurai Legend,PlayStation 2,07/07/2005,NA,Square Enix,Square Product Development Division 5,Musashi,Action RPG,,,,,Musashi: Samurai Legend,,,,,,,,,,,
Coded Arms,PlayStation Portable,06/07/2005,NA,Konami,Konami,Coded Arms,First-Person Shooter,,,,,Coded Arms,,,,,,,,,,,
Metal Dust,Commodore 64,01/07/2005,NA,Protovision,Protovision,,Scrolling Shooter,,,,,Metal Dust,,,,,,,,,,,
Bomberman Hardball,PlayStation 2,01/07/2005,EU,Ubisoft,Hudson Soft,Bomberman,Minigame Collection,,,,,Bomberman Hardball,,,,,,,,,,,
Echo Night #1,PlayStation Portable,30/06/2005,JP,FromSoftware,FromSoftware,Echo Night,Visual Novel,,,,,,,,,,,,,,,,
Mobile Suit Gundam: Gundam vs. Zeta Gundam,PlayStation 2,29/06/2005,NA,Bandai,Capcom,Gundam,Vehicular Combat,,,,,Mobile Suit Gundam: Gundam vs. Zeta Gundam,,,,,,,,,,,
Riviera: The Promised Land,Game Boy Advance,28/06/2005,NA,Atlus,Sting,Dept. Heaven,Turn-Based RPG,,,,,Riviera: The Promised Land,,,,,,,,,,,
Atelier Iris: Eternal Mana,PlayStation 2,28/06/2005,NA,NIS America,Gust,Atelier,Turn-Based RPG,,,,,Atelier Iris: Eternal Mana,,,,,,,,,,,
Dead to Rights: Reckoning,PlayStation Portable,28/06/2005,NA,Namco,Rebellion Developments,Dead to Rights,Third-Person Shooter,,,,,Dead to Rights: Reckoning,,,,,,,,,,,
